id,name,currency
16541849,The Fisherman's Wharf,Rs.
130567,Souza Lobo,Rs.
130430,Co Co Mo,Rs.
16519268,La Plage,Rs.
18558647,Navtara Veg Restaurant,Rs.
1400382,Shree Gurukripa,Rs.
1400038,Apna Sweets,Rs.
18715348,The Monroe,Rs.
1402185,Shree Gurukripa,Rs.
1400208,Apna Sweets,Rs.
1401685,Dutt Guru Kripa,Rs.
18675443,Sagar Gaire,Rs.
1400574,Hotel Rajhans,Rs.
1400056,Nafees Restaurant,Rs.
18713037,Tic Tac Toe,Rs.
1401724,Hotel Guru Kripa Avenue,Rs.
18254231,Oye24,Rs.
1400287,Madhuram Sweets,Rs.
1401774,Banana Leaf,Rs.
18684400,Little Monk,Rs.
1400310,Vijay Chaat House,Rs.
1400311,Apna Sweets,Rs.
18395137,Just My Bakes,Rs.
1402252,Mustang - Hotel Somdeep Palace,Rs.
18601095,Indore Kitchen - Indore Marriott Hotel,Rs.
18746380,Domino's,Rs.
18746904,Baker's Cafe,Rs.
16500301,The Dragon Wok,Rs.
18746039,Osm Restaurant,Rs.
18746176,Taste of Tibet,Rs.
18746050,Osm Lounge,Rs.
16500332,Nimtho,Rs.
18746004,Bonfire ,Rs.
16500309,Roll House,Rs.
16500300,The Local Cafe,Rs.
18746148,Chopstick,Rs.
18746007,Parivar,Rs.
18922563,Domino's Pizza,Rs.
18746062,Cafe Live & Loud ,Rs.
18746689,Baker's Cafe,Rs.
16500321,Momo King ,Rs.
16500330,Khan Uncle's Biryani House,Rs.
16500333,Nimtho,Rs.
16500304,Thakali,Rs.
18983524,Mehfill- Resto Bar,Rs.
18629821,Sula Vineyards,Rs.
1600099,Kokni Darbar,Rs.
1600067,Al Arabian Express,Rs.
1600136,Dairy Don,Rs.
18585945,The Foundry- Industrial Bar & Sport,Rs.
18839989,Samarth Juice Center,Rs.
18943921,Burger Point,Rs.
1600500,The Sidewalk,Rs.
18608708,Burger King,Rs.
1600258,Barbeque Nation,Rs.
18632170,Panorama,Rs.
1600169,Veg Aroma,Rs.
1600301,Cellar Door @ York,Rs.
18658877,Rock n' Roll,Rs.
1600227,Divtya Budhlya Wada Restaurant,Rs.
18573795,The FRIENDS Bistro,Rs.
1600119,Domino's Pizza,Rs.
1600109,Eastern Spice,Rs.
18962186,Hotel Mughal Darbar,Rs.
1600029,Barbeque Ville,Rs.
18698487,Angaara ,Rs.
18698864,A2B- Adyar Ananda Bhavan,Rs.
18698898,Domino's Pizza,Rs.
18698690,Nahar Sidewalk Cafe,Rs.
18698726,Hyderabad Biriyani House,Rs.
18699624,Shinkows Chinese Restaurant ,Rs.
18698924,Hyderabad Biryani House,Rs.
18698964,Thalassery Restaurant,Rs.
18698943,Willy's Coffee Pub,Rs.
18698658,Place To Bee,Rs.
18698644,Cocoapods,Rs.
18699681,Darjeeling Spicy Momo,Rs.
18698833,Pankaj Bhojanalaya,Rs.
18699247,Dining Room,Rs.
18698916,New Ooty Bakery ,Rs.
18698797,Hotel Junior Kuppanna,Rs.
18698832,Quality Restaurant,Rs.
18700259,Thendral Restaurant,Rs.
18698688,Cliff Top,Rs.
18698999,Ooty Coffee House ,Rs.
18848790,The Brew Estate,Rs.
18703923,Cafe Simla Times,Rs.
18703946,Cafe Sol,Rs.
18704132,Indian Coffee House,Rs.
18704176,Hide Out Cafe,Rs.
18704216,45 The Central,Rs.
18704153,Domino's,Rs.
18704300,Sher-e-Punjab,Rs.
18703974,Cafe Under Tree,Rs.
18704318,Sita Ram & Son ,Rs.
18704259,Honey Hut,Rs.
18703932,Eighteen 71,Rs.
18703939,Embassy The Restaurant,Rs.
18703966,HPTDC Goofa Ashiana Bar and Restaurant,Rs.
18704355,Gupta Ji Bhojnalya,Rs.
18703964,Nalini,Rs.
18704552,Diamond,Rs.
18704352,China Town Restaurant,Rs.
18704339,Hotel Combermere,Rs.
18704457,Singh's Tandoor,Rs.
18784840,The Table By Basant,Rs.
15401,Natural Soups & Shakes,Rs.
15221,Basant,Rs.
18400368,Pirates Of Grill,Rs.
15008,Hot Breads,Rs.
18680874,Natural 2,Rs.
15047,Rishi Vegetarian Dhaba NK,Rs.
18444271,Hawai Adda,Rs.
15556,New Delhi Chhole Bhature,Rs.
18728655,Uncle Jack's,Rs.
15239,Basant Restaurant,Rs.
15101,Bansi Vaishno Dhaba,Rs.
18586834,Burger King,Rs.
15295,Raja Dhaba,Rs.
18282260,KFC,Rs.
15077,Meshi Vaishnu Dhaba,Rs.
18729016,K Chawla Ice Cream & Sweets,Rs.
15488,Shahi Khansama,Rs.
15127,Vipan Vaishno Dhaba,Rs.
18583331,Gopal Sweets,Rs.
2100712,Mocha,Rs.
2101445,The Steaming Mug ,Rs.
2100702,Barbeque Nation,Rs.
2100707,KFC,Rs.
2100719,The Corner Cafe,Rs.
18633388,Kalita Cafe,Rs.
2100784,11th Avenue Cafe Bistro,Rs.
2100118,The Dhaba,Rs.
2100478,Terra Mayaa Restaurant and Lounge,Rs.
2100821,Raja Mircha,Rs.
2100832,Mast Biryani,Rs.
18710093,Fat Belly,Rs.
18801521,Cafe Gram,Rs.
2100644,KFC,Rs.
2100495,Grill Republica,Rs.
2100913,Kalita Spectrum,Rs.
2100904,Mughal Garden,Rs.
18702475,Nanz Cafe,Rs.
18381932,The Zouq : Resto-Cafe,Rs.
18480196,Fat Belly,Rs.
2200000,Kesar Da Dhabha,Rs.
2200044,Bharawan Da Dhaba,Rs.
2200132,Bade Bhai ka Brothers Dhaba,Rs.
2200105,R K Food Plaza,Rs.
2200055,Beera Chicken House,Rs.
2200045,The Kulcha Land,Rs.
2200011,Makhan Fish and Chicken Corner,Rs.
2200365,Cafe Connect,Rs.
2200864,Burger King,Rs.
2200386,Kale Da Dhaba,Rs.
2200236,Brothers' Amritsari Dhaba,Rs.
2200245,Novelty Sweets,Rs.
2200358,Bon Gateau,Rs.
2200314,Domino's Pizza,Rs.
2200534,Sip n Breww,Rs.
2200357,Sanjha Chulha,Rs.
2200283,Sakhis Watz Kukin,Rs.
2200153,Kanha Sweets,Rs.
2200923,Hungry Pizza,Rs.
2200286,Cafe Chokolade,Rs.
2300179,Talk Of The Town,Rs.
2300175,Mithas,Rs.
2300842,Hot Pizza Ace,Rs.
18209832,Zyka Restaurant,Rs.
2300299,Domino's Pizza,Rs.
18697142,Facebook Point,Rs.
2300884,Sagar Ratna,Rs.
18811222,Chauuan Pandit Paties,Rs.
2300981,Bazooka,Rs.
2300729,Juicebox,Rs.
2300984,Foodoo Pizza,Rs.
2300092,Pandit's,Rs.
2300492,Baba Food Court,Rs.
2301845,Mi Casa,Rs.
2300502,Silver Spoons,Rs.
2300051,Domino's Pizza,Rs.
2300050,Baba Biryani,Rs.
2300549,Mithas,Rs.
2300104,Spicy Foods,Rs.
2300035,KFC,Rs.
2400349,Pizza Hut,Rs.
2400358,Domino's Pizza,Rs.
2400193,Mr. Dewsis,Rs.
2400565,Old School Cafe,Rs.
2400018,El Chico Restaurant,Rs.
2400394,Well Bean Cafe,Rs.
2400269,Hot n Cool,Rs.
2400119,KFC,Rs.
18799013,Nainital Momos,Rs.
2400009,Sagar Ratna,Rs.
2400014,McDonald's,Rs.
2400356,Domino's Pizza,Rs.
2400017,Tandoor Restaurant,Rs.
2400019,Bikanerwala,Rs.
18889008,EDEN by Connoisseur,Rs.
2400403,Pind Balluchi,Rs.
2400020,Aryan Family's Delight,Rs.
2400533,SCORE - The Games Cafe,Rs.
18901221,7th Heaven,Rs.
2400390,Haldiram Bhujiawala,Rs.
2500904,Kef Lounge,Rs.
2500672,SNT Tahari House ,Rs.
2500034,Green Leaf,Rs.
2500969,Mustafa's Dum Biryani,Rs.
2500346,Yalla Yalla,Rs.
2500135,Domino's Pizza,Rs.
2500211,Saurabh Restaurant,Rs.
2500123,Great Sagar Restaurant,Rs.
2500332,KFC,Rs.
2500030,Bhoj Restaurant,Rs.
2500654,Sagar Restaurant ,Rs.
2500055,Smile Veg Restaurant,Rs.
2500164,Koyla Dum Biryanis & Kebabs,Rs.
2500353,Pizza Hut,Rs.
2500385,Gayatri Mewad,Rs.
2500146,Sai Prasad,Rs.
2500241,Cone-N-Cakes,Rs.
2500052,Ashoka's Veg Restaurant,Rs.
18796129,Shahi Mughal Darbar,Rs.
2500134,Domino's Pizza,Rs.
2600334,Sagar Gaire Fast Food,Rs.
2600081,Zam Zam Fast Food,Rs.
2600369,Sagar Gaire Fast Food,Rs.
2600499,Zam Zam Fast Food,Rs.
2600003,Manohar Dairy And Restaurant,Rs.
2600109,Sagar Gaire Fast Food,Rs.
2600665,Vishnu Chinese Fast Food,Rs.
2600321,Sagar Gaire Fast Food,Rs.
2600051,Al-Beik,Rs.
18154918,Khan Sahab,Rs.
2601361,Sagar Gaire Fast Food,Rs.
2600320,Sagar Gaire Fast Food,Rs.
18812768,Anni Bhai ki Biryani,Rs.
2600047,Bapu Ki Kutia,Rs.
2601776,Khan Chacha,Rs.
18772225,Sagar Gaire Fast Food,Rs.
2601248,Sagar Gaire Fast Food,Rs.
2601595,Sagar Gaire Fast Food,Rs.
2600913,32 Degree North East,Rs.
2600008,Bake N Shake,Rs.
2700085,Kaveri - Lalpur,Rs.
2700048,Domino's Pizza,Rs.
2700059,Punjab Sweet House,Rs.
18388053,The Best,Rs.
2700606,Second Wife Restaurant,Rs.
2700423,Punjabi Kitchen,Rs.
2700336,The Mezbaan,Rs.
2700986,Domino's Pizza,Rs.
2700458,The Breaking Bread,Rs.
18159977,Hot Lips,Rs.
2700558,KFC,Rs.
2700489,Jashn,Rs.
2700044,KFC,Rs.
2700024,New Kathi Kabab,Rs.
2700047,Domino's Pizza,Rs.
2700081,Seasons Restaurant,Rs.
2700696,Kareem's,Rs.
2700779,Sardar Fast Food Plaza,Rs.
2700049,Pizza Hut,Rs.
2700011,Seventh Heaven,Rs.
2800993,Zeeshan Restaurant - Apna Hyderabadi Food,Rs.
2800294,Sri Sairam Parlour,Rs.
2801554,Helapuri Restaurant,Rs.
2800014,KFC,Rs.
2800096,Kamat Restaurant,Rs.
2801173,Paradise,Rs.
2801561,Indian Flavours Restaurant,Rs.
18766029,Helapuri Restaurant,Rs.
2801545,Helapuri Restaurant,Rs.
2801559,Hotel V Parlour,Rs.
2800083,My Restaurant,Rs.
2801648,Helapuri Restaurant,Rs.
2800901,Paradise,Rs.
2801034,"Fresh Choice- Patisserie, Bakery & Café",Rs.
2800790,Hotel Grand Alpha,Rs.
2800868,Raju's Kitchen,Rs.
2801236,KFC,Rs.
18809359,Helapuri Tiffins,Rs.
2800114,New Satyam Multicuisine Restaurant & Takeaway,Rs.
2800903,Mekong - Hotel GreenPark,Rs.
18805782,Chili's Grill & Bar,Rs.
2902018,Biryani Bhubaneswar,Rs.
18991874,Breathe By Biswajit,Rs.
2901195,BOCCA Cafe,Rs.
2900234,TCD Restaurant & Banquet,Rs.
2900509,Chandini Food Magic,Rs.
18237402,Biggies Burger 'n' More,Rs.
18271459,JUGAAD JN.,Rs.
2901460,Sher-e-Punjab,Rs.
18770281,Three Kings,Rs.
2900667,Biryani247,Rs.
2900453,KFC,Rs.
2900474,Narula's Restaurant,Rs.
18848926,Moody Blues,Rs.
18753913,Biriyani King,Rs.
18285395,Biriyani Box,Rs.
2900232,Domino's Pizza,Rs.
2900222,KFC,Rs.
2900793,JUGAAD JN.,Rs.
2900658,Biggies Burger 'n' More,Rs.
3000152,Cock Ra Co,Rs.
3000214,Shahi Grill,Rs.
3001572,The French Door Cafe & Restaurant,Rs.
3002026,The Chocolate Room,Rs.
3001032,Burger Ka Baap,Rs.
3002715,Yugo,Rs.
3000107,Haribhavanam,Rs.
18242351,Eleven 2 Eleven,Rs.
3002291,Dindigul Venu Biryani,Rs.
3001315,Hotel Delhi Dharbarr,Rs.
3000048,Barbeque Nation,Rs.
3000280,Denmarrk Drive-Inn Restaurant,Rs.
3000572,Sree Annapoorna Sree Gowrishankar,Rs.
3000014,Sree Annapoorna Sree Gowrishankar,Rs.
18671982,Zucca Pizzeria,Rs.
18241403,Vaskas Biriyani,Rs.
3000018,Dindigul Venu Biryani,Rs.
3000251,Pizza Hut,Rs.
3002287,The Slave's Restaurant,Rs.
3000811,Shree Anandhaas,Rs.
3100210,Ideal Cafe,Rs.
3100196,Pabbas,Rs.
3100302,Machali,Rs.
3100753,Bamboo Restaurant,Rs.
18656648,Waffee House,Rs.
3100010,Diesel Cafe,Rs.
3100448,Spindrift,Rs.
3100924,Dinki Dine,Rs.
3100111,Tandoor,Rs.
3100044,Village Restaurant,Rs.
3100006,Ideal's,Rs.
3100159,Crave Desserts & Bakes,Rs.
3100845,Drnk Lab,Rs.
3100134,Andhra House,Rs.
3100837,Food Junction,Rs.
3100169,The Old Prax,Rs.
3100524,Brick House,Rs.
3100441,Barbeque Nation,Rs.
3100016,Royal Darbar,Rs.
3100013,Hao Ming,Rs.
18502212,Munchane,Rs.
18409523,Jassi De Parathe,Rs.
18767071,Day Night Vada Pav & Dabeli,Rs.
3200244,Tasty Vada Pav,Rs.
3201876,Brown Burger Co,Rs.
3200606,Santushti Shakes & More,Rs.
3200477,Chhappanbhog Restaurant & Banquets,Rs.
3200424,Domino's Pizza,Rs.
3200981,Burger King,Rs.
3201787,Saladific,Rs.
3201965,Old School Eatery,Rs.
18461598,Amritsari Kulcha,Rs.
3200029,KFC,Rs.
3201461,Retro Bistro,Rs.
3200139,Hariyali Restaurant,Rs.
3200560,Mr Toasties,Rs.
3200555,Shree Kathiyawadi Khadki,Rs.
3200298,Yo Frankie,Rs.
3200665,Barbeque Nation,Rs.
3200857,Flavor Restaurant,Rs.
3300072,Dosa Plaza,Rs.
18706194,Goosebumps,Rs.
3301708,Plan B,Rs.
3300056,Barbecue Restaurant,Rs.
3301462,Three Beans,Rs.
3300012,Mini Punjab,Rs.
18623894,Bouffage Cafe & Bistro,Rs.
18748677,The Civil Kitchen,Rs.
3300707,KFC,Rs.
3300958,Barbeque Nation,Rs.
3301605,Roast Cafe,Rs.
18717585,Tanjore - Enter the Deccan,Rs.
3301200,Behrouz Biryani,Rs.
18394440,Uttar Dakshin by Naivedhyam,Rs.
3300011,Babbu Hotel,Rs.
3300058,The Breakfast Story,Rs.
3301013,Zaikart,Rs.
18795312,Juhi's Kitchen,Rs.
18664896,Burger Singh,Rs.
3301766,Hunger's Den Restaurant & Cafe,Rs.
18888066,Kiskey Whiskey,Rs.
3401013,Bhagat Halwai,Rs.
3400299,Bikanervala,Rs.
3400290,Bhagat Halwai,Rs.
3400005,Mama Chicken Mama Franky House,Rs.
3401344,Cafe Turquoise Cottage,Rs.
3400296,Honeydew Restaurant,Rs.
3400712,The Greener Side,Rs.
18966639,Fakira,Rs.
3400275,Domino's Pizza,Rs.
3400425,Bikanervala,Rs.
3400868,Hichkee,Rs.
3400850,Urban Deck,Rs.
3400105,Pizza Hut,Rs.
3400279,Mc Donald's,Rs.
3400017,Pinch Of Spice,Rs.
3400282,Aahar,Rs.
3400277,Pizza Hut,Rs.
3400326,Tea'se Me - Rooftop Tea Boutique,Rs.
3400368,Domino's Pizza,Rs.
3500424,Gaylord Xpress,Rs.
3500484,Kalsang AMA Cafe,Rs.
3500505,Barbeque Nation,Rs.
3500218,Uss Da Dhaba,Rs.
3502144,Mannu Fast Food,Rs.
3501639,70 Percent Restro Cafe,Rs.
3500437,Walk In Woods,Rs.
18391854,Burger King,Rs.
18754629,Domino's Pizza,Rs.
18408585,Punjab Grill,Rs.
3500017,Anandam,Rs.
3500250,Ellora's Melting Moments,Rs.
3500078,Orchard,Rs.
3501364,Chicago BR,Rs.
3500193,KC Soup Bar,Rs.
18699236,Tuhada Dhaba,Rs.
3500011,Kalsang Friends Corner,Rs.
3500969,Cafe De Piccolo,Rs.
18416632,The Great Indian Pub,Rs.
3500010,Black Pepper Restaurant,Rs.
3600012,Empire Restaurant,Rs.
3600375,The Old House,Rs.
3600017,Gufha Restaurant,Rs.
3600065,Hotel RRR,Rs.
3600122,Kafe Biryani Corner,Rs.
3601144,Kapoor's Cafe,Rs.
3600119,Big Chicken,Rs.
3600593,Frosting,Rs.
3600817,Etihad Arabian Restaurant,Rs.
3600352,Barbeque Nation,Rs.
3600389,Highway 18,Rs.
3600018,KFC,Rs.
3600013,Green Leaf,Rs.
3600192,Spring - Radisson Blu Plaza,Rs.
3600015,Original Vinayaka Mylari,Rs.
3600148,Andhra Ruchulu,Rs.
3600265,Jalpaan Dining Saga,Rs.
3600252,Hotel RRR Mysore,Rs.
3600072,Nanking,Rs.
3600403,Hotel Hanumanthu,Rs.
3700054,Cafe Xtasi,Rs.
3700051,Cafe des Arts,Rs.
3700050,Baker Street,Rs.
3700770,Escape In,Rs.
3700021,The Indian Kaffe Express,Rs.
3701200,Les Saveurs,Rs.
18378803,#Dilliwaala6,Rs.
3700049,Villa Shanti,Rs.
3700041,Zuka,Rs.
3701130,PY Cafe,Rs.
3700572,Bread & Chocolate,Rs.
3700649,Taka Pizza,Rs.
3700069,Le Cafe,Rs.
3700010,Auroville Bakery,Rs.
3700656,Margaritas,Rs.
3700037,Le Dupleix,Rs.
3700017,The Pasta Bar Veneto,Rs.
3700723,SICILYS,Rs.
3700047,Surguru,Rs.
3700009,Tanto,Rs.
3800420,Mahalakshmi,Rs.
18744566,Burger King,Rs.
3800007,Barbeque Nation,Rs.
3800321,Coffee King,Rs.
18589557,Vegji's,Rs.
19003551,Icekraft,Rs.
3800583,Kailash Sweets & Snacks,Rs.
3800696,Kailash Sweet & Snacks,Rs.
3800313,Bhai Bhai Omelette Center,Rs.
18760674,Sarvottam Hotel,Rs.
18551944,Coffee King,Rs.
3800068,Jalaram Khichadi,Rs.
3800390,Singh Saaab Di Rasoi,Rs.
18349362,Harikrushna Restaurant,Rs.
18778476,Bismillah,Rs.
18783529,Kailash Sweets & Snacks,Rs.
3800537,Mahesh Pav Bhaji,Rs.
3800017,Pizza Hut,Rs.
3800293,Kailash Sweets & Snacks,Rs.
3800690,Bismillah,Rs.
3900223,Sha Chicken Hut,Rs.
18803653,KFC,Rs.
3900067,Taste King,Rs.
18610032,Crood Square,Rs.
3900057,Ming Garden,Rs.
3900045,Domino's Pizza,Rs.
3900253,Sagar Ratna,Rs.
3900267,Roma's Café Diner,Rs.
18689916,The Yellow Chilli,Rs.
3900245,Deena Chat Bhandar,Rs.
18652184,Doodh Booth,Rs.
3900135,Maharaja Restaurant,Rs.
18787962,Cafe de Coop,Rs.
3900032,Kashi Chat Bhandar,Rs.
3900455,The Tripling Bistro,Rs.
3900037,Pizza Hut,Rs.
3900138,McDonald's,Rs.
3900266,Holy Chopsticks,Rs.
18676368,Barbeque Nation,Rs.
